dance,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
494,644,0,-11.781,905,704,0.0,781,866,206.13,4,1
446,487,7,-6.783,623,842,0.0,177,696,182.546,3,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
684,437,9,-10.522,491,742,1.63e-05,224,964,107.607,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
266,181,7,-15.143,375,888,499,124,106,138.908,3,1
521,278,2,-10.922,774,742,2.48e-06,736,692,76.925,4,1
684,437,9,-10.522,491,742,1.63e-05,224,964,107.607,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
257,217,5,-11.745,279,636,5.92e-06,268,203,92.202,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
294,253,1,-13.146,349,884,6.3e-06,132,234,85.256,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
294,253,1,-13.146,349,884,6.3e-06,132,234,85.256,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
684,437,9,-10.522,491,742,1.63e-05,224,964,107.607,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
684,437,9,-10.522,491,742,1.63e-05,224,964,107.607,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
684,437,9,-10.522,491,742,1.63e-05,224,964,107.607,4,1
525,623,1,-16.836,0.05,994,157,106,0.17,91.205,3,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
418,307,2,-10.296,275,721,0.0,133,332,105.515,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
123,261,8,-11.245,288,718,0.0,0.14,136,82.062,3,1
257,217,5,-11.745,279,636,5.92e-06,268,203,92.202,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
294,253,1,-13.146,349,884,6.3e-06,132,234,85.256,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
494,644,0,-11.781,905,704,0.0,781,866,206.13,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
369,421,8,-10.346,397,0.61,0.0,195,326,71.923,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
494,644,0,-11.781,905,704,0.0,781,866,206.13,4,1
494,644,0,-11.781,905,704,0.0,781,866,206.13,4,1
494,644,0,-11.781,905,704,0.0,781,866,206.13,4,1
262,324,7,-13.158,337,676,278,211,212,109.141,3,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
525,623,1,-16.836,0.05,994,157,106,0.17,91.205,3,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
684,437,9,-10.522,491,742,1.63e-05,224,964,107.607,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
684,437,9,-10.522,491,742,1.63e-05,224,964,107.607,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
478,201,7,-16.79,332,919,0.0,854,857,136.47,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
478,201,7,-16.79,332,919,0.0,854,857,136.47,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
499,304,0,-11.543,632,0.81,0.0,546,521,129.321,4,1
478,201,7,-16.79,332,919,0.0,854,857,136.47,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
478,201,7,-16.79,332,919,0.0,854,857,136.47,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
478,201,7,-16.79,332,919,0.0,854,857,136.47,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
478,201,7,-16.79,332,919,0.0,854,857,136.47,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
499,304,0,-11.543,632,0.81,0.0,546,521,129.321,4,1
604,225,1,-11.554,344,566,0.0,148,674,138.46,3,1
494,0.18,7,-17.928,332,908,0.0,868,0.87,136.263,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
0.29,178,5,-13.97,294,884,0.0,0.15,214,130.643,5,1
604,225,1,-11.554,344,566,0.0,148,674,138.46,3,1
418,307,2,-10.296,275,721,0.0,133,332,105.515,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
478,201,7,-16.79,332,919,0.0,854,857,136.47,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
499,304,0,-11.543,632,0.81,0.0,546,521,129.321,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
446,245,0,-14.733,349,905,3.07e-05,122,458,129.416,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
462,209,1,-15.251,323,0.9,0.0,514,765,133.988,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
484,332,1,-10.312,37,787,0.0,373,683,134.999,4,1
478,201,7,-16.79,332,919,0.0,854,857,136.47,4,1
439,196,0,-16.093,601,0.88,0.0,513,525,129.581,4,1
446,214,1,-15.215,326,885,1.46e-06,52,741,133.436,4,1
