genre,dance,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,liveness,key,mode
metal,0.363,0.982,-3.621,0.3,0.00123,0.00218,0.275,179.23,0.284,7,0
metal,0.627,0.935,-4.882,0.0324,0.0092,0,0.287,120.092,0.147,5,1
metal,0.215,0.927,-7.327,0.0452,0.000273,0.00661,0.49,170.814,0.126,9,1
metal,0.47,0.859,-3.663,0.0537,0.000362,0.00691,0.17,124.01,0.142,2,1
metal,0.392,0.964,-4.441,0.0644,7.13e-05,0.0387,0.269,167.024,0.106,10,0
metal,0.454,0.913,-4.008,0.107,0.408,0.000271,0.521,137.688,0.248,9,1
metal,0.466,0.833,-4.215,0.304,0.0266,0,0.661,88.785,0.0327,7,1
metal,0.656,0.932,-3.405,0.0708,0.00347,0.00147,0.544,130.936,0.144,4,0
metal,0.465,0.954,-4.251,0.044,0.000346,5.38e-06,0.458,143.85,0.573,10,1
metal,0.548,0.691,-13.553,0.0369,0.015,0.106,0.667,137.145,0.144,4,0
metal,0.16,0.954,-5.179,0.0685,0.023,4.01e-06,0.336,165.223,0.372,9,1
metal,0.509,0.774,-4.054,0.0338,0.00189,0.000549,0.0824,116.529,0.143,6,1
metal,0.463,0.898,-4.462,0.0467,0.000288,0.000236,0.563,129.987,0.111,11,1
metal,0.451,0.951,-3.754,0.0645,0.000386,2.56e-06,0.441,162.041,0.261,1,1
metal,0.457,0.834,-4.674,0.0817,0.00252,0.00125,0.201,140.032,0.1,5,0
metal,0.539,0.828,-9.108,0.035,0.00067,0.421,0.562,105.25,0.154,4,0
metal,0.655,0.781,-6.547,0.034,0.00103,5.33e-06,0.584,110.024,0.0867,11,1
metal,0.486,0.904,-3.751,0.0638,3.43e-05,2.83e-05,0.786,173.734,0.0947,6,0
metal,0.718,0.691,-6.44,0.0387,0.0159,0,0.552,100.008,0.0627,4,1
metal,0.488,0.862,-7.595,0.0476,0.0204,0,0.706,104.56,0.359,0,1
metal,0.268,0.98,-5.959,0.101,0.019,0.00692,0.39,100.316,0.182,11,1
metal,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.513,123.229,0.0756,0,1
metal,0.389,0.476,-9.342,0.0316,0.619,5.09e-05,0.566,148.117,0.255,9,1
metal,0.617,0.922,-3.474,0.0744,0.000247,0.388,0.6,132.059,0.363,11,1
metal,0.384,0.561,-10.059,0.0296,0.373,0.253,0.159,136.136,0.0775,3,0
metal,0.518,0.948,-5.579,0.0676,0.00512,0.0996,0.548,103.025,0.228,6,0
metal,0.53,0.768,-5.611,0.0284,0.00385,0,0.374,148.095,0.103,7,1
metal,0.512,0.86,-6.145,0.0703,0.00631,0.00528,0.258,117.909,0.0652,0,1
metal,0.404,0.72,-9.18,0.0623,5.59e-05,0.836,0.475,121.864,0.0466,10,0
metal,0.603,0.933,-3.358,0.171,0.00591,0,0.709,96.311,0.206,1,1
metal,0.46,0.796,-4.501,0.0333,0.00107,0,0.182,100.011,0.106,0,0
